tract_geoid,state,i,group,hh_idx_within_group,rcv_kUSD,contents_kUSD
34013021300,NJ,1,owner,1,299.2199703,179.5319822
34013021300,NJ,2,owner,2,844.485407,506.6912442
34013021300,NJ,3,owner,3,568.010524,340.8063144
34013021300,NJ,4,owner,4,257.6068003,154.5640802
34013021300,NJ,5,owner,5,248.6829545,149.2097727
34013021300,NJ,6,owner,6,47.02936064,28.21761638
34013021300,NJ,7,owner,7,141.4973008,84.89838045
34013021300,NJ,8,owner,8,165.0121321,99.00727923
34013021300,NJ,9,owner,9,270.0634823,162.0380894
34013021300,NJ,10,owner,10,166.7426487,100.0455892
34013021300,NJ,11,owner,11,271.2436671,162.7462002
34013021300,NJ,12,owner,12,316.6425123,189.9855074
34013021300,NJ,13,owner,13,133.2025021,79.92150124
34013021300,NJ,14,owner,14,638.402029,383.0412174
34013021300,NJ,15,owner,15,101.6114423,60.96686538
34013021300,NJ,16,owner,16,195.7150059,117.4290035
34013021300,NJ,17,owner,17,83.6398552,50.18391312
34013021300,NJ,18,owner,18,388.7423045,233.2453827
34013021300,NJ,19,owner,19,100.4278667,60.25672
34013021300,NJ,20,owner,20,229.4119653,137.6471792
34013021300,NJ,21,owner,21,172.7922498,103.6753499
34013021300,NJ,22,owner,22,115.5708822,69.34252935
34013021300,NJ,23,owner,23,303.7941922,182.2765153
34013021300,NJ,24,owner,24,392.0516327,235.2309796
34013021300,NJ,25,owner,25,381.8660478,229.1196287
34013021300,NJ,26,owner,26,219.8988419,131.9393051
34013021300,NJ,27,owner,27,72.93394975,43.76036985
34013021300,NJ,28,owner,28,358.8052721,215.2831633
34013021300,NJ,29,owner,29,118.6270295,71.1762177
34013021300,NJ,30,owner,30,179.2450346,107.5470207
34013021300,NJ,31,owner,31,139.4725809,83.68354852
34013021300,NJ,32,owner,32,229.9157527,137.9494516
34013021300,NJ,33,owner,33,275.0530199,165.031812
34013021300,NJ,34,owner,34,168.0422563,100.8253538
34013021300,NJ,35,owner,35,206.1934289,123.7160573
34013021300,NJ,36,owner,36,269.4868458,161.6921075
34013021300,NJ,37,owner,37,51.13580668,30.68148401
34013021300,NJ,38,owner,38,276.3810685,165.8286411
34013021300,NJ,39,owner,39,78.05467504,46.83280502
34013021300,NJ,40,owner,40,76.70565904,46.02339543
34013021300,NJ,41,owner,41,360.3491315,216.2094789
34013021300,NJ,42,owner,42,234.6152673,140.7691604
34013021300,NJ,43,owner,43,120.5230722,72.31384334
34013021300,NJ,44,owner,44,145.235736,87.14144162
34013021300,NJ,45,owner,45,420.3524389,252.2114633
34013021300,NJ,46,owner,46,154.7968994,92.87813963
34013021300,NJ,47,owner,47,252.0806957,151.2484174
34013021300,NJ,48,owner,48,65.78807455,39.47284473
34013021300,NJ,49,owner,49,169.5256874,101.7154124
34013021300,NJ,50,owner,50,267.3872737,160.4323642
34013021300,NJ,51,owner,51,493.4659039,296.0795424
34013021300,NJ,52,owner,52,123.1203567,73.87221402
34013021300,NJ,53,owner,53,247.747061,148.6482366
34013021300,NJ,54,owner,54,281.9329917,169.159795
34013021300,NJ,55,owner,55,274.4497859,164.6698715
34013021300,NJ,56,owner,56,761.9135413,457.1481248
34013021300,NJ,57,owner,57,94.763545,56.858127
34013021300,NJ,58,owner,58,246.8935813,148.1361488
34013021300,NJ,59,owner,59,89.75625731,53.85375439
34013021300,NJ,60,owner,60,52.30716369,31.38429821
34013021300,NJ,61,owner,61,195.0088607,117.0053164
34013021300,NJ,62,owner,62,90.92419798,54.55451879
34013021300,NJ,63,owner,63,268.9735356,161.3841214
34013021300,NJ,64,owner,64,275.7743657,165.4646194
